course_id,relation_id,relation_type,grade_requirement
115109,115732,pre,C-
115110,115732,pre,C-
115111,115732,pre,C-
115112,115732,pre,C-
115113,115732,pre,C-
115115,115745,pre,C-
115116,115732,pre,C-
115116,115745,pre,C-
115119,115162,cross,
115120,115163,cross,
115121,115732,pre,C-
115133,117582,cross,
115133,118424,cross,
115134,115732,pre,C-
115135,115732,pre,C-
115136,115732,pre,C-
115137,115732,pre,C-
115138,116457,cross,
115138,115732,pre,C-
115138,115745,pre,C-
115139,114997,preco,C-
115139,114998,preco,C-
115139,119287,preco,C-
115142,120051,cross,
115142,115732,pre,C-
115142,120061,pre,C-
115143,115732,pre,C-
115144,115732,pre,C-
115145,115731,pre,C-
115145,115744,pre,C-
115145,115732,pre,C-
115147,115732,pre,C-
115148,115732,pre,C-
115154,115150,pre,C-
115154,115151,pre,C-
115154,115152,pre,C-
115154,115153,pre,C-
115155,115150,pre,C-
115155,115151,pre,C-
115155,115152,pre,C-
115155,115153,pre,C-
115156,115154,preco,C-
115157,115155,preco,C-
115159,114950,cross,
115162,115119,cross,
115163,115120,cross,
115165,117414,cross,
115166,117415,cross,
115167,117416,cross,
115168,117417,cross,
115170,117610,cross,
115170,119623,cross,
115171,117611,cross,
115171,119624,cross,
115174,115613,cross,
115174,115608,pre,C-
115176,118693,preco,C-
115176,118694,preco,C-
115178,119406,cross,
115179,117244,cross,
115180,116032,cross,
115185,115089,pre,C-
115185,115377,pre,C-
115185,120168,pre,C-
115186,115089,pre,C-
115186,115352,pre,C-
115186,120167,pre,C-
115187,115185,pre,C-
115226,115257,preco,C-
115227,115009,preco,C-
115227,115226,pre,C-
115227,114985,pre,C-
115227,115364,pre,C-
115227,120171,pre,C-
115228,115009,preco,C-
115228,115257,pre,C-
115228,115226,pre,C-
115228,114985,pre,C-
115229,115009,preco,C-
115229,115257,pre,C-
115229,115226,pre,C-
115229,114985,pre,C-
115230,115229,preco,C-
115231,115257,pre,C-
115231,115226,pre,C-
115232,115228,pre,C-
115233,115229,pre,C-
115233,115228,pre,C-
115234,114985,pre,C-
115234,115364,pre,C-
115234,120171,pre,C-
115234,115227,pre,C-
115236,115257,pre,C-
115236,115226,pre,C-
115237,115247,pre,C-
115238,115247,pre,C-
115239,115247,pre,C-
115242,115226,pre,C-
115246,115257,pre,C-
115246,115226,pre,C-
115248,115238,pre,C-
115251,115226,pre,C-
115252,115251,pre,C-
115252,115246,pre,C-
115253,115227,pre,C-
115253,115229,pre,C-
115253,115232,pre,C-
115254,115253,co,C-
115256,115227,pre,C-
115258,114943,pre,C-
115259,115949,cross,
115259,116140,cross,
115259,116863,cross,
115259,117001,cross,
115259,117713,cross,
115259,118210,cross,
115259,118434,cross,
115259,119966,cross,
115260,116970,pre,C-
115260,114870,pre,C-
115261,115375,cross,
115261,115260,pre,C-
115261,114935,pre,C-
115261,115062,pre,C-
115262,115913,cross,
115263,115260,pre,C-
115265,114935,pre,C-
115265,114943,pre,C-
115267,115269,cross,
115269,115267,cross,
115271,115260,pre,C-
115271,115263,pre,C-
115271,115275,pre,C-
115272,118568,pre,C-
115273,115184,pre,C-
115274,115158,co,C-
115275,115260,pre,C-
115275,115263,pre,C-
115275,114931,pre,C-
115275,114935,pre,C-
115276,115277,co,C-
115276,115275,pre,C-
115276,118597,pre,C-
115276,115980,pre,C-
115277,115276,co,C-
115278,115275,pre,C-
115279,115260,pre,C-
115279,115263,pre,C-
115280,115275,pre,C-
115281,115282,co,C-
115281,115275,pre,C-
115281,114985,pre,C-
115281,115009,pre,C-
115281,115964,pre,C-
115281,115965,pre,C-
115282,115281,preco,C-
115283,115281,pre,C-
115284,115281,pre,C-
115286,115354,pre,C-
115287,115281,pre,C-
115288,115281,pre,C-
115288,115965,pre,C-
115290,115260,pre,C-
115290,115263,pre,C-
115291,115346,pre,C-
115292,115663,cross,
115293,115346,pre,C-
115294,115346,pre,C-
115295,115260,pre,C-
115295,115263,pre,C-
115295,115275,pre,C-
115304,118339,co,C-
115304,115403,pre,C-
115304,118375,pre,C-
115305,115286,pre,C-
115307,115275,pre,C-
115321,118569,cross,
115321,118568,pre,C-
115323,115276,pre,C-
115323,115973,pre,C-
115323,115980,pre,C-
115325,115286,pre,C-
115330,115272,co,C-
115331,118585,cross,
115331,118568,pre,C-
115332,115260,pre,C-
115334,115403,pre,C-
115340,118377,co,C-
115340,115403,pre,C-
115341,115340,pre,C-
115341,115304,pre,C-
115341,118382,pre,C-
115342,118336,co,C-
115342,115340,pre,C-
115342,115304,pre,C-
115342,118382,pre,C-
115343,115337,pre,C-
115344,115346,pre,C-
115344,119676,pre,C-
115344,115955,pre,C-
115344,115964,pre,C-
115344,115965,pre,C-
115345,115344,co,C-
115345,115346,pre,C-
115345,119676,pre,C-
115345,115955,pre,C-
115345,115964,pre,C-
115345,115965,pre,C-
115346,115411,cross,
115346,117070,cross,
115346,120146,cross,
115346,115275,pre,C-
115346,115279,pre,C-
115348,115412,cross,
115348,117074,cross,
115348,120147,cross,
115348,115275,pre,C-
115348,115279,pre,C-
115351,115350,pre,C-
115352,115341,pre,C-
115352,120166,pre,C-
115353,115281,pre,C-
115354,115275,pre,C-
115354,115964,pre,C-
115354,115965,pre,C-
115354,115980,pre,C-
115355,115281,pre,C-
115357,116984,preco,C-
115358,115363,pre,C-
115358,115366,pre,C-
115358,115320,pre,C-
115359,115260,pre,C-
115359,115263,pre,C-
115361,115287,co,C-
115361,115281,pre,C-
115364,115304,pre,C-
115364,115340,pre,C-
115365,115281,pre,C-
115368,116269,cross,
115368,119761,cross,
115368,116262,pre,C-
115368,115263,pre,C-
115369,116270,cross,
115369,119762,cross,
115369,116269,pre,C-
115369,115368,pre,C-
115369,119761,pre,C-
115370,117297,cross,
115370,114961,pre,C-
115370,114983,pre,C-
115371,117325,cross,
115372,119476,cross,
115372,119464,pre,C-
115373,115376,pre,C-
115374,115376,pre,C-
115375,115261,cross,
115375,115260,pre,C-
115375,114935,pre,C-
115375,115062,pre,C-
115376,115260,pre,C-
115376,114935,pre,C-
115376,116876,pre,C-
115376,115377,pre,C-
115376,120168,pre,C-
115376,115062,pre,C-
115377,115352,pre,C-
115377,120167,pre,C-
115378,115340,pre,C-
115378,115304,pre,C-
115378,118382,pre,C-
115379,115376,pre,C-
115379,120135,pre,C-
115379,120136,pre,C-
115379,115390,pre,C-
115380,120026,pre,C-
115380,115388,pre,C-
115380,115381,pre,C-
115381,115375,co,C-
115381,120026,pre,C-
115381,115376,pre,C-
115382,115379,pre,C-
115382,120135,pre,C-
115382,120136,pre,C-
115383,115375,pre,C-
115386,115074,pre,C-
115386,120135,pre,C-
115386,120136,pre,C-
115386,115375,pre,C-
115386,115384,pre,C-
115388,115377,pre,C-
115388,120168,pre,C-
115388,118359,pre,C-
115389,115397,pre,C-
115389,115398,pre,C-
115390,115376,co,C-
115390,120135,co,C-
115390,120136,co,C-
115390,115377,pre,C-
115390,120168,pre,C-
115390,115260,pre,C-
115390,114935,pre,C-
115391,115352,co,C-
115391,120167,co,C-
115391,115062,co,C-
115391,114931,pre,C-
115391,116876,pre,C-
115392,115789,pre,C-
115392,115790,pre,C-
115392,118214,pre,C-
115392,115376,pre,C-
115392,115375,pre,C-
115393,115391,pre,C-
115393,118214,pre,C-
115393,115376,pre,C-
115393,115375,pre,C-
115395,115376,pre,C-
115397,115396,pre,C-
115398,115396,pre,C-
115398,115397,pre,C-
115399,115352,pre,C-
115399,120167,pre,C-
115399,115062,pre,C-
115400,114931,pre,C-
115400,115352,pre,C-
115400,120167,pre,C-
115400,115062,pre,C-
115401,115789,pre,C-
115401,115790,pre,C-
115401,115399,pre,C-
115401,118214,pre,C-
115401,115400,pre,C-
115402,115400,pre,C-
115402,118214,pre,C-
115403,118374,co,C-
115405,115346,pre,C-
115411,115346,cross,
115411,117070,cross,
115411,120146,cross,
115411,115275,pre,C-
115411,115279,pre,C-
115412,117074,cross,
115412,120147,cross,
115412,115275,pre,C-
115412,115275,pre,C-
115418,118376,co,C-
115420,120194,co,C-
115431,115443,cross,
115442,115422,pre,C-
115443,115431,cross,
115444,116997,pre,C-
115444,115537,pre,C-
115446,116997,preco,C-
115447,115422,pre,C-
115448,116997,preco,C-
115449,116997,pre,C-
115449,115537,pre,C-
115450,115537,pre,C-
115450,115547,pre,C-
115451,115537,pre,C-
115451,115547,pre,C-
115452,116997,preco,C-
115453,116997,pre,C-
115453,115537,pre,C-
115454,116997,preco,C-
115455,116997,preco,C-
115456,116997,preco,C-
115457,116997,preco,C-
115459,116997,pre,C-
115459,115452,pre,C-
115460,116997,preco,C-
115461,116997,preco,C-
115463,115462,pre,C-
115464,115462,pre,C-
115465,115462,pre,C-
115466,115462,pre,C-
115467,115462,pre,C-
115468,115462,pre,C-
115469,115462,pre,C-
115470,115462,pre,C-
115479,115476,pre,C-
115488,119237,cross,
115492,115422,pre,C-
115493,115492,pre,C-
115494,115492,pre,C-
115495,115492,pre,C-
115496,115492,pre,C-
115497,115492,pre,C-
115498,115492,pre,C-
115499,115492,pre,C-
115506,115500,pre,C-
115509,115553,pre,C-
115509,115419,pre,C-
115509,116993,pre,C-
115509,115422,pre,C-
115509,115462,pre,C-
115509,115475,pre,C-
115509,115483,pre,C-
115509,115492,pre,C-
115509,115500,pre,C-
115509,116991,pre,C-
115509,115419,pre,C-
115509,116993,pre,C-
115509,115422,pre,C-
115509,115462,pre,C-
115509,115475,pre,C-
115509,115483,pre,C-
115509,115492,pre,C-
115509,115500,pre,C-
115521,116997,pre,C-
115521,115450,pre,C-
115523,116997,pre,C-
115523,115537,pre,C-
115524,115505,pre,C-
115524,119786,pre,C-
115525,116993,pre,C-
115525,117519,pre,C-
115527,115458,pre,C-
115528,116997,pre,C-
115528,115547,pre,C-
115529,116997,co,C-
115530,116997,co,C-
115531,116997,co,C-
115535,115422,pre,C-
115535,115492,pre,C-
115536,116997,preco,C-
115537,116997,co,C-
115538,116997,pre,C-
115538,115446,pre,C-
115538,115537,pre,C-
115545,116997,pre,C-
115547,116997,pre,C-
115547,115537,pre,C-
115548,115430,pre,C-
115549,116997,pre,C-
115549,115547,pre,C-
115550,115425,pre,C-
115563,115356,pre,C-
115563,123028,pre,C-
115563,115356,pre,C-
115563,115341,pre,C-
115563,120166,pre,C-
115563,115352,pre,C-
115563,120167,pre,C-
115563,115377,pre,C-
115563,120168,pre,C-
115563,123028,pre,C-
115563,115364,pre,C-
115563,120171,pre,C-
115565,115563,pre,C-
115565,115564,pre,C-
115567,119693,pre,C-
115567,119758,pre,C-
115567,119866,pre,C-
115568,115566,pre,C-
115569,115567,pre,C-
115569,115568,pre,C-
115570,115567,pre,C-
115570,115568,pre,C-
115571,115563,pre,C-
115573,115572,pre,C-
115574,115563,pre,C-
115575,115563,pre,C-
115576,115575,pre,C-
115577,119693,pre,C-
115577,119758,pre,C-
115577,119866,pre,C-
115577,115572,pre,C-
115577,115573,pre,C-
115578,119693,pre,C-
115578,119758,pre,C-
115578,119866,pre,C-
115578,115572,pre,C-
115578,115573,pre,C-
115579,119693,pre,C-
115579,119758,pre,C-
115579,119866,pre,C-
115579,115572,pre,C-
115579,115573,pre,C-
115579,115574,pre,C-
115579,115583,pre,C-
115580,119693,pre,C-
115580,119758,pre,C-
115580,119866,pre,C-
115581,115566,pre,C-
115581,115572,pre,C-
115582,119693,pre,C-
115582,119758,pre,C-
115582,119866,pre,C-
115582,115566,pre,C-
115582,115572,pre,C-
115582,115573,pre,C-
115582,115574,pre,C-
115583,115565,pre,C-
115583,115574,pre,C-
115583,116484,pre,C-
115583,116336,pre,C-
115583,115607,pre,C-
115585,115584,pre,C-
115587,119693,pre,C-
115587,119758,pre,C-
115587,119866,pre,C-
115589,119693,pre,C-
115589,119758,pre,C-
115589,119866,pre,C-
115589,115588,pre,C-
115591,115583,pre,C-
115592,115583,pre,C-
115593,115588,pre,C-
115597,115563,pre,C-
115597,119693,pre,C-
115597,119748,pre,C-
115597,119865,pre,C-
115597,115572,pre,C-
115597,115573,pre,C-
115598,115586,pre,C-
115601,115572,pre,C-
115602,115572,pre,C-
115602,115574,pre,C-
115603,115563,pre,C-
115604,115572,pre,C-
115604,115601,pre,C-
115605,115583,pre,C-
115606,115588,pre,C-
115607,115364,pre,C-
115607,120171,pre,C-
115609,115608,pre,C-
115610,115608,pre,C-
115611,115608,pre,C-
115611,115623,pre,C-
115612,115608,pre,C-
115613,115174,cross,
115613,115608,pre,C-
115616,115608,pre,C-
115617,115608,pre,C-
115618,115608,pre,C-
115619,115608,pre,C-
115620,115607,pre,C-
115620,115608,pre,C-
115621,115608,pre,C-
115621,115615,pre,C-
115621,115616,pre,C-
115621,115620,pre,C-
115621,119693,pre,C-
115621,119758,pre,C-
115621,119866,pre,C-
115621,115623,pre,C-
115623,115607,pre,C-
115623,115364,pre,C-
115623,120171,pre,C-
115624,115607,pre,C-
115624,115623,pre,C-
115624,117499,pre,C-
115624,117721,pre,C-
115624,116489,pre,C-
115624,120184,pre,C-
115626,115607,pre,C-
115627,115608,pre,C-
115628,115620,co,C-
115628,115608,pre,C-
115628,115623,pre,C-
115629,115608,pre,C-
115630,115608,pre,C-
115631,115608,pre,C-
115633,115607,pre,C-
115634,115623,pre,C-
115635,115607,pre,C-
115636,115623,pre,C-
115637,115623,pre,C-
115638,115633,pre,C-
115638,115634,pre,C-
115645,115642,pre,C-
115646,119693,pre,C-
115646,119758,pre,C-
115646,119866,pre,C-
115647,115642,preco,C-
115648,115640,pre,C-
115648,115642,pre,C-
115648,119693,pre,C-
115648,119758,pre,C-
115648,119866,pre,C-
115649,115664,pre,C-
115649,115642,pre,C-
115650,119693,pre,C-
115650,119758,pre,C-
115650,119866,pre,C-
115650,115642,pre,C-
115650,115646,pre,C-
115650,115648,pre,C-
115650,115649,pre,C-
115652,115651,pre,C-
115652,119693,pre,C-
115652,119758,pre,C-
115652,119866,pre,C-
115653,115651,pre,C-
115653,119693,pre,C-
115653,119758,pre,C-
115653,119866,pre,C-
115655,119693,pre,C-
115655,119758,pre,C-
115655,119866,pre,C-
115659,119693,pre,C-
115659,119758,pre,C-
115659,119866,pre,C-
115660,115651,pre,C-
115660,115652,pre,C-
115663,115292,cross,
115666,115665,co,C-
115670,115668,pre,C-
115671,115669,pre,C-
115672,115668,co,C-
115673,115667,pre,C-
115673,115669,pre,C-
115674,115667,pre,C-
115674,115666,pre,C-
115674,115668,pre,C-
115674,115669,pre,C-
115675,115667,pre,C-
115675,115666,pre,C-
115675,115668,pre,C-
115675,115669,pre,C-
115677,119693,pre,C-
115677,119758,pre,C-
115677,119866,pre,C-
115678,115668,pre,C-
115678,115669,pre,C-
115678,119693,pre,C-
115678,119758,pre,C-
115678,119866,pre,C-
115679,115684,pre,C-
115683,115667,co,C-
115683,115669,pre,C-
115684,115669,co,C-
115684,115667,pre,C-
115684,115666,pre,C-
115694,117143,cross,
115696,115693,pre,C-
115703,115651,pre,C-
115703,115653,pre,C-
115707,115705,pre,C-
115707,115706,pre,C-
115714,115685,pre,C-
115714,115682,pre,C-
115714,115623,pre,C-
115716,119693,pre,C-
115716,119758,pre,C-
115716,119866,pre,C-
115725,115693,pre,C-
115726,119693,pre,C-
115726,119748,pre,C-
115726,119865,pre,C-
115728,117018,cross,
115729,114991,cross,
115729,115021,pre,C-
115729,115022,pre,C-
115730,115022,cross,
115733,116728,pre,C-
115734,118194,pre,C-
115734,119204,pre,C-
115740,117614,cross,
115740,119634,cross,
115744,115749,cross,
115749,115744,cross,
115750,115819,cross,
115751,114870,pre,C-
115759,114870,pre,C-
115760,114870,pre,C-
115761,115781,pre,C-
115761,115783,pre,C-
115763,114870,pre,C-
115763,114918,pre,C-
115766,118695,pre,C-
115778,118696,pre,C-
115783,115782,pre,C-
115783,115781,pre,C-
115784,115782,pre,C-
115784,115781,pre,C-
115787,115340,pre,C-
115787,115341,pre,C-
115787,120166,pre,C-
115788,115340,pre,C-
115788,115341,pre,C-
115788,120166,pre,C-
115789,120167,pre,C-
115789,115352,pre,C-
115789,115062,pre,C-
115790,115352,pre,C-
115790,115062,pre,C-
115791,115789,pre,C-
115791,115790,pre,C-
115791,120135,pre,C-
115792,115791,pre,C-
115793,115791,pre,C-
115794,115787,pre,C-
115794,115788,pre,C-
115794,115377,pre,C-
115794,120168,pre,C-
115794,115062,pre,C-
115795,115377,pre,C-
115796,115794,pre,C-
115797,115377,pre,C-
115797,120168,pre,C-
115798,115797,pre,C-
115799,115797,pre,C-
115799,115801,pre,C-
115800,115798,pre,C-
115801,115788,pre,C-
115801,115791,pre,C-
115801,118441,pre,C-
115801,120026,pre,C-
115802,115788,pre,C-
115802,118441,pre,C-
115802,120026,pre,C-
115803,115802,pre,C-
115804,115802,pre,C-
115805,115788,pre,C-
115805,115791,pre,C-
115805,118438,pre,C-
115806,115793,pre,C-
115806,115805,pre,C-
115806,120026,pre,C-
115807,115805,pre,C-
115808,115805,pre,C-
115809,115805,pre,C-
115810,115788,pre,C-
115810,118441,pre,C-
115810,114931,pre,C-
115810,120026,pre,C-
115812,120135,pre,C-
115812,116876,pre,C-
115813,115377,pre,C-
115813,120168,pre,C-
115814,115805,pre,C-
115814,120135,pre,C-
115815,115805,pre,C-
115816,115793,pre,C-
115816,115801,pre,C-
115817,115794,pre,C-
115819,115750,cross,
115822,115797,pre,C-
115822,115798,pre,C-
115823,115798,pre,C-
115824,115799,pre,C-
115828,115801,pre,C-
115830,118441,pre,C-
115830,120135,pre,C-
115831,115802,pre,C-
115831,115803,pre,C-
115832,115802,pre,C-
115833,115805,pre,C-
115834,115805,pre,C-
115834,115806,pre,C-
115835,115805,pre,C-
115835,115806,pre,C-
115836,115815,co,C-
115839,115810,pre,C-
115840,115810,pre,C-
115841,115810,pre,C-
115842,115849,pre,C-
115842,115850,pre,C-
115843,115810,pre,C-
115844,115837,pre,C-
115848,115810,pre,C-
115849,115810,pre,C-
115850,115810,pre,C-
115851,115810,pre,C-
115852,115810,pre,C-
115853,115798,pre,C-
115854,115798,pre,C-
115856,115794,pre,C-
115856,115797,pre,C-
115856,115798,pre,C-
115856,115801,pre,C-
115856,115802,pre,C-
115856,115805,pre,C-
115856,115810,pre,C-
115856,115813,pre,C-
115857,115802,pre,C-
115857,115810,pre,C-
115859,115802,pre,C-
115860,115810,pre,C-
115861,115802,pre,C-
115862,115801,pre,C-
115862,115802,pre,C-
115863,115801,pre,C-
115865,115801,pre,C-
115867,114870,pre,C-
115867,114876,pre,C-
115869,116746,pre,C-
115869,116757,pre,C-
115872,116746,pre,C-
115872,116757,pre,C-
115873,116746,pre,C-
115873,116757,pre,C-
115874,116746,pre,C-
115874,116757,pre,C-
115875,116746,pre,C-
115875,116757,pre,C-
115876,116746,pre,C-
115876,116757,pre,C-
115877,116746,pre,C-
115877,116757,pre,C-
115878,116746,pre,C-
115878,116757,pre,C-
115879,116746,pre,C-
115879,116757,pre,C-
115880,116746,pre,C-
115880,116757,pre,C-
115881,116746,pre,C-
115881,116757,pre,C-
115883,119684,pre,C-
115883,119865,pre,C-
115886,115891,pre,C-
115893,116746,pre,C-
115893,116757,pre,C-
115894,117943,cross,
115894,116746,pre,C-
115894,116757,pre,C-
115897,116746,pre,C-
115897,116757,pre,C-
115899,116746,pre,C-
