course_id,coreq_id
114811,120026
114822,114815
114827,114789
114969,114967
114995,114993
115254,115253
115274,115158
115276,115277
115277,115276
115281,115282
115304,118339
115330,115272
115340,118377
115342,118336
115345,115344
115361,115287
115381,115375
115390,115376
115390,120135
115390,120136
115391,115352
115391,120167
115391,115062
115403,118374
115418,118376
115420,120194
115529,116997
115530,116997
115531,116997
115537,116997
115628,115620
115666,115665
115672,115668
115683,115667
115684,115669
115836,115815
115915,116876
115921,115916
115921,115918
115923,115917
115923,115919
115924,115917
115924,115919
115936,115950
115981,115966
116054,116047
116077,116086
116084,116096
116084,116068
116085,116096
116085,116068
116087,116086
116105,115341
116105,120166
116108,116086
116108,116068
116111,116086
116197,117136
116329,123041
116341,115352
116341,120166
116341,118517
116341,115062
116341,118517
116341,114931
116416,116428
116427,116429
116428,116430
116429,116427
116430,116428
116431,116428
116431,116430
116459,116460
116460,116459
116463,116462
116473,116472
116474,116458
116475,116459
116475,116460
116658,116656
116765,120135
116765,120136
116769,116852
116785,116780
116852,116769
116855,120135
116855,120136
116859,116769
116859,116852
116860,116765
116860,116855
117166,117162
117166,117163
117181,116595
117460,117499
117460,119914
117490,117489
117494,119811
117494,119922
117497,117498
117498,117497
117518,117534
117527,119811
117527,119922
117535,117490
117555,117554
117568,117553
117715,115352
117715,120167
117715,116876
117720,117721
117810,117805
117924,117922
118048,118040
118052,118040
118053,118040
118068,119794
118104,118040
118184,115388
118215,116876
118216,118218
118219,118218
118219,120026
118239,118237
118240,118237
118253,115352
118253,120167
118253,118517
118253,115062
118253,118517
118253,114931
118254,115663
118256,115663
118258,118288
118326,118297
118326,118381
118334,115340
118336,120166
118337,120167
118339,115304
118340,120168
118341,120171
118346,120170
118374,115403
118375,115304
118387,120162
118436,116876
118444,118445
118444,114785
118444,114789
118449,120006
118449,118508
118450,118440
118458,118447
118511,118288
118511,118226
118511,115920
118515,115352
118515,120167
118515,118517
118515,115062
118515,118517
118515,114931
118516,118518
118516,118518
118516,118555
118517,115352
118517,120167
118517,115062
118517,118515
118517,114931
118517,118515
118518,118516
118518,115377
118518,115089
118518,118532
118522,120135
118532,118518
118533,118522
118534,118523
118555,118516
118555,115263
118557,118522
118574,118573
118576,118575
118653,118650
118653,118651
118733,114804
118733,119307
118734,114804
118734,119307
118913,118693
118913,118694
118914,118695
118914,118696
118915,115766
118915,115778
119013,117554
119028,119811
119028,119922
119028,119042
119029,119028
119029,119811
119029,119922
119031,119030
119033,119032
119085,119061
119085,119062
119090,119092
119090,119093
119090,119095
119092,119090
119092,119093
119092,119095
119093,119090
119093,119092
119093,119095
119095,119090
119095,119092
119095,119093
119096,119091
119098,119108
119112,118560
119113,119099
119113,119104
119113,119109
119125,119127
119127,119125
119128,119160
119129,119126
119138,119102
119138,119111
119139,118560
119140,119094
119160,119128
119161,119129
119163,119102
119163,119106
119164,118560
119164,120269
119164,120270
119169,120314
119241,119307
119284,115420
119328,119318
119350,115062
119351,114985
119423,119422
119429,119307
119507,119509
119563,119559
119572,119555
119591,119559
119682,119680
119682,119681
119706,119713
119707,119714
119713,119706
119714,119707
119723,119728
119725,119730
119728,119723
119729,119724
119753,119730
119754,119730
119773,120026
119878,118522
119878,118528
119967,120006
119971,114931
119971,114943
120020,120022
120020,116105
120040,115663
120045,115663
120162,118387
120164,120163
120165,118382
120166,118336
120167,118337
120168,118340
120170,118346
120171,118341
120194,115420
120205,120201
120207,114815
120208,114822
120209,114811
120210,114786
120252,120253
120253,120252
120254,120255
120255,120254
120256,120315
120257,120315
120258,120257
120259,120260
120260,120259
120261,120262
120262,120261
120265,120266
120266,120265
120314,119169
120315,120256
120317,118537
120319,116939
120320,118048
120320,118052
120320,118053
120321,118048
120321,118052
120321,118053
120322,118346
120329,114783
120330,114785
120331,114784
120348,116767
120428,119125
120450,120256
120452,120266
120456,123014
120457,123015
