course_id,cross_id
114750,114867
114750,120048
114763,114873
114763,120116
114844,119610
114847,117075
114850,116873
114850,120117
114867,114750
114867,120048
114871,116918
114872,119257
114873,114763
114873,120116
114875,119404
114880,117593
114883,117603
114884,117605
114884,119617
114928,120049
114936,119611
114950,115159
114976,119457
114976,119789
114991,115729
115007,115086
115022,115730
115045,115087
115046,115088
115075,116259
115086,115007
115087,115045
115088,115046
115094,119286
115096,116392
115097,116426
115103,118422
115104,118423
115119,115162
115120,115163
115133,117582
115133,118424
115138,116457
115142,120051
115159,114950
115162,115119
115163,115120
115165,117414
115166,117415
115167,117416
115168,117417
115170,117610
115170,119623
115171,117611
115171,119624
115174,115613
115178,119406
115179,117244
115180,116032
115259,115949
115259,116140
115259,116863
115259,117001
115259,117713
115259,118210
115259,118434
115259,119966
115261,115375
115262,115913
115267,115269
115269,115267
115292,115663
115321,118569
115331,118585
115346,115411
115346,117070
115346,120146
115348,115412
115348,117074
115348,120147
115368,116269
115368,119761
115369,116270
115369,119762
115370,117297
115371,117325
115372,119476
115375,115261
115411,115346
115411,117070
115411,120146
115412,117074
115412,120147
115431,115443
115443,115431
115488,119237
115613,115174
115663,115292
115694,117143
115728,117018
115729,114991
115730,115022
115740,117614
115740,119634
115744,115749
115749,115744
115750,115819
115819,115750
115894,117943
115913,115262
115914,118433
115922,117712
115925,117277
115938,118209
115939,115952
115949,115259
115949,116140
115949,116863
115949,117001
115949,117713
115949,118210
115949,118434
115949,119966
115950,118237
115951,117146
115951,118527
115952,115939
115971,119008
115971,119304
115972,119009
115972,119305
116018,119010
116018,119306
116024,119342
116025,116060
116025,116079
116025,116153
116032,115180
116051,119772
116058,119773
116059,119774
116060,116025
116060,116079
116060,116153
116079,116025
116079,116060
116079,116153
116102,119775
116117,119776
116118,119777
116140,115259
116140,115949
116140,116863
116140,117001
116140,117713
116140,118210
116140,118434
116140,119966
116141,117737
116142,117738
116142,119458
116145,116874
116145,117167
116145,117585
116146,116953
116146,117169
116146,117588
116153,116025
116153,116060
116153,116079
116170,117076
116220,117077
116220,118510
116230,119917
116259,115075
116267,119759
116268,119760
116269,115368
116269,119761
116270,115369
116270,119762
116271,119763
116277,119764
116278,119765
116279,119766
116281,119768
116283,119769
116285,119770
116288,119771
116321,116342
116337,118265
116338,118292
116338,118512
116339,118293
116341,118253
116341,118515
116342,116321
116345,116377
116346,117947
116347,117948
116360,117590
116377,116345
116382,116600
116392,115096
116421,116486
116421,116524
116424,120060
116425,120083
116457,115138
116480,117086
116481,117095
116482,120061
116483,120062
116486,116421
116486,116524
116493,117079
116495,117400
116496,117401
116524,116421
116524,116486
116546,117083
116593,117347
116600,116382
116712,117346
116745,119238
116863,115259
116863,115949
116863,116140
116863,117001
116863,117713
116863,118210
116863,118434
116863,119966
116864,118213
116865,118246
116866,118439
116867,118211
116867,118484
116868,118212
116868,118491
116873,114850
116873,120117
116874,116145
116874,117167
116874,117585
116877,116937
116878,116881
116878,116936
116881,116878
116881,116936
116904,117587
116906,119918
116907,119919
116914,119920
116918,114871
