course_id,precoreq_id
114897,114894
115139,114997
115139,114998
115139,119287
115156,115154
115157,115155
115176,118693
115176,118694
115226,115257
115227,115009
115228,115009
115229,115009
115230,115229
115282,115281
115357,116984
115446,116997
115448,116997
115452,116997
115454,116997
115455,116997
115456,116997
115457,116997
115460,116997
115461,116997
115536,116997
115647,115642
115930,115929
115956,115955
115967,115965
115976,115973
115979,115978
116016,115970
116022,115960
116058,120026
116204,117136
116207,117136
116229,117136
116264,115340
116764,116765
117284,117280
117284,114961
117284,115117
117284,118020
117323,115092
117323,114983
117523,117509
117554,117553
117557,117553
117714,118214
117729,120136
117855,118460
117908,119860
118003,115359
118003,115290
118003,115291
118006,115359
118006,115290
118006,115291
118008,115974
118008,115975
118062,118099
118062,118102
118112,119676
118164,114786
118164,114789
118164,118288
118167,114786
118167,114789
118167,118288
118244,118216
118263,118288
118263,118288
118329,118298
118440,118214
118445,118442
118455,118443
118486,118443
118513,118444
118535,118525
118538,118535
118584,118572
118723,118691
118723,118692
118723,118705
118757,118693
118757,118694
118757,118823
118757,118723
118758,118693
118758,118694
118758,118823
118758,118723
118769,118693
118769,118694
118770,118693
118770,118694
119108,119098
119122,119116
119122,119117
119122,119118
119126,119125
119126,119127
119130,119125
119130,119126
119130,119127
119166,119307
119246,119307
119246,119307
119494,119546
119494,119474
119712,119705
119715,115661
119716,119707
119716,119714
119716,119714
119795,117296
119798,119961
119930,119928
119955,119962
119955,119931
119955,119932
119968,115364
119968,120171
119968,115341
119968,120166
119978,119972
119982,119981
119993,119992
120000,119968
120169,120126
120214,115388
120220,115915
120407,118003
120468,117823
120475,120474
