course_id,prereq_id
114759,116960
114765,114764
114767,114764
114768,114764
114769,114764
114769,119873
114769,115870
114770,114764
114771,114764
114771,115608
114772,115608
114773,118396
114773,114765
114778,114764
114778,114776
114778,114781
114779,114764
114779,114776
114779,114781
114779,114778
114780,114764
114780,114776
114780,114781
114781,114776
114781,114764
114782,114828
114782,114787
114783,114815
114784,114822
114785,120026
114785,120135
114785,114811
114785,118441
114786,115089
114786,114811
114787,115352
114787,120167
114787,115062
114788,114811
114788,114786
114789,114784
114789,114816
114789,114787
114789,120126
114801,114800
114804,120126
114804,114811
114804,118441
114808,116964
114808,118187
114809,116964
114809,118187
114811,115352
114811,120167
114811,115062
114815,115062
114815,115352
114815,120167
114816,120135
114816,120126
114816,114822
114822,115377
114822,120168
114822,115062
114825,114822
114826,114828
114826,114787
114827,114814
114828,115341
114828,120166
114828,115062
114861,116485
114861,116961
114876,116970
114889,114902
114889,114904
114890,114906
114891,114903
114892,114891
114893,114888
114894,114893
114895,114892
114896,114892
114898,114904
114899,114900
114900,114896
114900,114894
114903,114999
114906,114904
114907,114896
114911,114905
114912,114911
114913,114898
114914,114913
114915,114897
114925,116234
114926,116234
114928,116234
114929,116234
114929,115161
114929,114878
114930,116234
114931,115957
114931,115340
114931,116970
114931,114870
114932,116234
114932,116691
114934,116234
114935,114931
114936,116234
114936,116691
114937,116234
114938,115161
114940,115161
114942,115161
114942,115164
114942,115183
114942,115184
114948,114878
114949,114878
114951,116234
114953,116234
114957,114929
114967,114968
114967,114925
114968,114967
114970,115661
114971,114937
114977,115161
114979,116234
114979,115161
114979,114878
114981,116234
114982,116234
114991,115021
114991,115022
114995,116645
115001,115000
115002,115000
115005,114997
115005,115000
115006,114998
115007,115732
115007,115745
115009,114985
115011,115069
115011,115010
115012,115010
115012,115011
115014,115010
115015,115010
115015,115011
115016,115010
115017,115003
115018,114998
115018,115003
115019,115017
115019,115018
115020,114998
115024,115023
115024,114998
115025,115004
115028,115005
115029,115005
115030,115005
115031,115001
115031,115002
115032,115000
115032,115001
115032,115002
115033,114997
115033,115000
115034,115005
115035,115002
115035,115005
115036,115005
115036,115034
115036,115078
115036,115035
115037,114998
115039,115006
115040,114998
115046,115045
115050,115049
115050,115042
115061,115112
115062,116970
115062,115341
115062,120166
115070,114998
115071,114998
115072,114998
115074,115062
115074,115352
115074,120167
115078,115005
115078,115034
115080,115000
115080,115002
115081,114997
115081,115000
115082,115010
115084,115069
115084,115010
115085,115049
115085,115052
115086,115732
115086,115745
115088,115045
115089,115074
115089,115352
115089,120167
115094,115732
115095,115731
115095,115732
115095,115744
115096,115745
115097,115745
115100,115731
115100,115732
115101,115731
115103,115731
115105,115731
115106,115732
115107,115732
115108,115732
115109,115732
115110,115732
115111,115732
115112,115732
115113,115732
115115,115745
115116,115732
115116,115745
115121,115732
115134,115732
115135,115732
115136,115732
115137,115732
115138,115732
115138,115745
115142,115732
115142,120061
115143,115732
115144,115732
115145,115731
115145,115744
115145,115732
115147,115732
115148,115732
115154,115150
115154,115151
115154,115152
115154,115153
115155,115150
115155,115151
115155,115152
115155,115153
115174,115608
115185,115089
115185,115377
115185,120168
115186,115089
115186,115352
115186,120167
115187,115185
115227,115226
115227,114985
115227,115364
115227,120171
115228,115257
115228,115226
115228,114985
115229,115257
115229,115226
115229,114985
115231,115257
115231,115226
115232,115228
115233,115229
115233,115228
115234,114985
115234,115364
115234,120171
115234,115227
115236,115257
115236,115226
115237,115247
115238,115247
115239,115247
115242,115226
115246,115257
115246,115226
115248,115238
115251,115226
115252,115251
115252,115246
115253,115227
115253,115229
115253,115232
115256,115227
115258,114943
115260,116970
115260,114870
115261,115260
115261,114935
115261,115062
115263,115260
115265,114935
115265,114943
115271,115260
115271,115263
115271,115275
115272,118568
115273,115184
115275,115260
115275,115263
115275,114931
115275,114935
115276,115275
115276,118597
115276,115980
115278,115275
115279,115260
115279,115263
115280,115275
115281,115275
115281,114985
115281,115009
115281,115964
115281,115965
115283,115281
115284,115281
115286,115354
115287,115281
115288,115281
115288,115965
115290,115260
115290,115263
115291,115346
115293,115346
115294,115346
115295,115260
115295,115263
115295,115275
115304,115403
115304,118375
115305,115286
115307,115275
115321,118568
115323,115276
115323,115973
115323,115980
115325,115286
115331,118568
115332,115260
115334,115403
115340,115403
115341,115340
115341,115304
115341,118382
115342,115340
115342,115304
115342,118382
115343,115337
115344,115346
115344,119676
115344,115955
115344,115964
115344,115965
115345,115346
115345,119676
115345,115955
115345,115964
115345,115965
115346,115275
115346,115279
115348,115275
115348,115279
115351,115350
115352,115341
115352,120166
115353,115281
115354,115275
115354,115964
115354,115965
115354,115980
115355,115281
115358,115363
115358,115366
115358,115320
115359,115260
115359,115263
115361,115281
115364,115304
115364,115340
115365,115281
115368,116262
115368,115263
115369,116269
115369,115368
115369,119761
115370,114961
115370,114983
115372,119464
115373,115376
115374,115376
115375,115260
115375,114935
115375,115062
115376,115260
115376,114935
115376,116876
115376,115377
115376,120168
115376,115062
115377,115352
115377,120167
115378,115340
115378,115304
115378,118382
115379,115376
115379,120135
115379,120136
115379,115390
115380,120026
115380,115388
115380,115381
115381,120026
115381,115376
115382,115379
115382,120135
115382,120136
115383,115375
115386,115074
115386,120135
115386,120136
115386,115375
115386,115384
115388,115377
115388,120168
115388,118359
115389,115397
115389,115398
115390,115377
115390,120168
115390,115260
115390,114935
115391,114931
115391,116876
115392,115789
115392,115790
115392,118214
115392,115376
115392,115375
115393,115391
115393,118214
115393,115376
115393,115375
115395,115376
115397,115396
115398,115396
115398,115397
115399,115352
115399,120167
115399,115062
115400,114931
115400,115352
